AID,count
2843,398
2844,4
2845,5
2846,36
2847,0
2848,0
2849,1
2850,18
2851,0
2852,5
2853,115
2854,0
2855,0
2856,36
2857,4
2858,1
2859,11
2860,1
2861,4
2862,0
2863,0
2864,0
2865,7
2866,0
2867,11
2868,11
2869,0
2870,0
2871,0
2872,0
2873,52
2874,120
2875,30
2876,208
2877,591
2878,512
2879,49
2880,0
2881,1
2882,5
2883,2
2884,61
2885,153
2886,7
2887,1
2888,441
2889,44
2890,60
2891,1562
2892,5
2893,5
2894,0
2895,36
2896,35
2897,1
2898,141
2899,8
2900,0
2901,0
2902,19
2903,0
2904,0
2905,2375
2906,15
2907,13
2908,113
2909,184
2910,1034
2911,85
2912,533
2913,35
2914,37
2915,28
2916,12
2917,132
2918,8
2919,2
2920,0
2921,0
2922,0
2923,6
2924,0
2925,0
2926,54
2927,0
2928,95
2929,0
2930,0
2931,0
2932,184
2933,5
2934,0
2935,0
2936,0
2937,0
2938,0
2939,0
2940,4
2941,0
2942,0
2943,0
2944,7
2945,64
2946,51
2947,0
2948,0
2949,172
2950,21
2951,1
2952,4
2953,28
2954,0
2955,22
2956,66
2957,0
2958,0
2959,0
2960,1
2961,0
2962,0
2963,0
2964,5
2965,0
2966,97
2967,0
2968,0
2969,0
2970,10
2971,24
2972,14
2973,1
2974,28
2975,0
2976,34
2977,0
2978,0
2979,0
2980,0
2981,33
2982,8
2983,4
2984,0
2985,0
2986,5
